name;country;iata;city
Int'l, MT;USA;GGW;Glasgow
Ghardaia;Algeria;GHA;Ghardaia
Governor's Harbour, Eleuthera Isla;Bahamas;GHB;
Great Harbour;Bahamas;GHC;
Ghimbi;Ethiopia;GHD;
Garachine;Panama;GHE;
Giebelstadt;Germany;GHF;Giebelstadt
Gush Katif;Israel;GHK;
Municipal, TN;USA;GHM;Centerville
Guanghan;China;GHN;
Ghat;Libya;GHT;
Gualeguaychu, ER;Argentina;GHU;
Bra?ov-Ghimbav Int;Romania;GHV;Brasiv
Gibraltar;Gibraltar;GIB;Gibraltar
Boigu Island, QL;Australia;GIC;
Gitega;Burundi;GID;
Gilbert Field, FL;USA;GIF;Winterhaven
Rio de Janeiro;Brasil;GIG;Rio de Janeiro
Siguiri;Guinea;GII;
Gilgit;Pakistan;GIL;
Miele Mimbale;Gabon;GIM;
Santiago Vila, CN;Colombia;GIR;Girardot
Gisborne;New Zealand;GIS;
Geita;Tanzania;GIT;
Giyani;South Africa;GIY;
GIZAN;Saudi Arabia;GIZ;Gizan
Guanaja;Honduras;GJA;
Ferhat Abbas;Algeria;GJL;Jijell
Guajara-Mirim, RO;Brazil;GJM;
Gjogur;Iceland;GJR;
Grand Junction;USA;GJT;Grand Junction
Goroka;Papua New Guin;GKA;
Geilenkirchen (mil);Germany;GKE;Geilenkirchen (mil)
Gorkha;Nepal;GKH;
Great Keppel Island, QL;Australia;GKL;
Gulkana, AK;USA;GKN;
Kongoboumba;Gabon;GKO;
Gatlinburg, TN;USA;GKT;
Glasgow;United Kingdom of Great Britain and Northern Ireland;GLA;Glasgow
Galadi;Ethiopia;GLC;
Renner Field, KS;USA;GLD;Goodland
Municipal, TX;USA;GLE;Gainesville
Golfito;Costa Rica;GLF;
Glengyle, QL;Australia;GLG;
Greenville, MS;USA;GLH;
Glen Innes, NS;Australia;GLI;
Galcaio;Somalia;GLK;
Klanten;Norway;GLL;Gol
Glenormiston, QL;Australia;GLM;
Goulimime;Morocco;GLN;
Gloucester;United Kingdom of Great Britain and Northern Ireland;GLO;Gloucester
Gulgubip;Papua New Guin;GLP;
Brenwicks, AK;USA;GLQ;Glennallen
Otsego County, MI;USA;GLR;Gaylord
Scholes Field, TX;USA;GLS;Galveston
Gladstone, QL;Australia;GLT;
Golovin, AK;USA;GLV;
Municipal, KY;USA;GLW;Glasgow
Gamarmalamo;Indonesia;GLX;Galela
Goldsworthy, WA;Australia;GLY;
Gilze-Rijen;The Netherlands;GLZ;Gilze-Rijen
Gemena;Congo (the Democratic Republic of the);GMA;
Gambella;Ethiopia;GMB;
Guerima;Colombia;GMC;
Ben Slimane;Morocco;GMD;Ben Slimane
Pokalubishi;Belarus;GME;Gomel
Gasmata Island;Papua New Guin;GMI;
Kyiv Antonov-2;Ukraine;GML;Kyiv
Gamboma;Congo (the);GMM;
Greymouth;New Zealand;GMN;
Seoul;South Korea;GMP;Seoul
Gambier Island;French Polynes;GMR;
Guimaraes, MA;Brazil;GMS;
Granite Mountain, AK;USA;GMT;
Downtown, SC;USA;GMU;Greenville
Monument Valley Gouldings, UT;USA;GMV;
Rheindahlen;Germany;GMY;Rheindahlen
Grodno;Belarus;GNA;Grodno
Grenoble;France;GNB;Grenoble
Grenada;Grenada;GND;Grenada
Gent;Belgium;GNE;Gent
Gooding, ID;USA;GNG;
Green Island;Taiwan;GNI;
Guanambi, BA;Brazil;GNM;
Ghinnir;Ethiopia;GNN;
General Roca, RN;Argentina;GNR;
Binaka;Indonesia;GNS;Gunung Sitoli
Grants-Milan, NM;USA;GNT;Grants
Goodnews Bay, AK;USA;GNU;
Gainesville;USA;GNV;Gainesville
Sanliurfa Gap Inter.;Türkiye;GNY;SANLIURFA
Ghanzi;Botswana;GNZ;
Genoa;Italy;GOA;Genoa
Robe;Ethiopia;GOB;Goba
Gora;Papua New Guin;GOC;
Gonalia;Papua New Guin;GOE;
Goodfellow AFB, TX;USA;GOF;San Angelo
Gobabis;Namibia;GOG;
Godthaab;Greenland;GOH;Nuuk
Goa;India;GOI;Goa
Strigino;Russia (CIS);GOJ;Nizhniy Novgorod
Guthrie, OK;USA;GOK;
Gold Beach, OR;USA;GOL;
Goma;Congo (the Democratic Republic of the);GOM;Goma
New London;USA;GON;New London
Goondiwindi, QL;Australia;GOO;
Gorakhpur;India;GOP;
Golmud;China;GOQ;
Gore;Ethiopia;GOR;
Gosford, NS;Australia;GOS;
Gothenburg;Sweden;GOT;Gothenburg
Garoua;Cameroun;GOU;Garoua
Nhulunbuy, NT;Australia;GOV;Gove
Garrow Lake, NT;Australia;GOW;
Amparai;Sri Lanka;GOY;Galoya
Gorna Orechovitsa;Bulgaria;GOZ;Gorna Orechovitsa
Araxos;Greece;GPA;Patras
Tancredo Thomaz Faria,;Brazil;GPB;Guarapuava
Guapi, CU;Colombia;GPI;
Guapiles;Costa Rica;GPL;
Garden Point, NT;Australia;GPN;
General Pico, LP;Argentina;GPO;
Galapagos;Ecuador;GPS;Baltra
Gulf Port;USA;GPT;Gulf Port
Grand Rapids, MN;USA;GPZ;
Machrihanish;United Kingdom of Great Britain and Northern Ireland;GQJ;Machrihanish
Galion, OH;USA;GQQ;
Gamarra;Colombia;GRA;
Green Bay;USA;GRB;Green Bay
Grand Cess;Liberia;GRC;
Greenwood, SC;USA;GRD;
Municipal, IL;USA;GRE;Greenville
Gray AAF, WA;USA;GRF;Tacoma
Gardez;Afghanistan;GRG;
Garuahi;Papua New Guin;GRH;
Central Nebraska Regi;USA;GRI;Grand Island
George;South Africa;GRJ;
Fort Hood-Killeen;USA;GRK;Fort Hood-Killeen
Garasa;Papua New Guin;GRL;
Devils Track, MN;USA;GRM;Grand Marais
Gordon, NE;USA;GRN;
Gerona;Spain;GRO;Gerona
Gurupi, TO;Brazil;GRP;
Groningen;The Netherlands;GRQ;Groningen
Grand Rapids;USA;GRR;Grand Rapids
Grosseto;Italy;GRS;Grosseto
Gujrat;Pakistan;GRT;
Sao Paulo;Brasil;GRU;Sao Paulo
Grozny;Russia (CIS);GRV;Grozny
Graciosa Island, Acores;Portugal;GRW;Graciosa
Granada;Spain;GRX;Granada
Grimsey;Iceland;GRY;
Graz;Austria;GRZ;Graz
Long Pasia;Malaysia;GSA;
GOLDSBORO;USA;GSB;GOLDSBORO
Gascoyne Junction, WA;Australia;GSC;
Gothenburg;Sweden;GSE;Gothenburg
Goshen, IN;USA;GSH;
Guadalcanal;Solomon Island;GSI;
Taltheilei Narrows, NT;Canada;GSL;
Hormozgan;Iran;GSM;Gheshm Island
Mount Gunson, SA;Australia;GSN;
Greensboro;USA;GSO;Greensboro
Greenville;USA;GSP;Greenville
Shark El Oweinat;Egypt;GSQ;
Gardo;Somalia;GSR;
Sabi Sabi;South Africa;GSS;
Gustavus, AK;USA;GST;
Azaza;Sudan;GSU;Gedaref
Binbrook;United Kingdom of Great Britain and Northern Ireland;GSY;Binbrook
Gatokae;Solomon Island;GTA;
Genting;Malaysia;GTB;
Green Turtle;Bahamas;GTC;
Alyangula, NT;Australia;GTE;Groote Eylandt
Great Falls;USA;GTF;Great Falls
Municipal, WI;USA;GTG;Grantsburg
Guttin;Germany;GTI;Guttin
Sungai Tiang;Malaysia;GTK;
Glentanner;New Zealand;GTN;Mount Cook
Tolotio;Indonesia;GTO;Gorontalo
Columbus;USA;GTR;Columbus
Granites, NT;Australia;GTS;
Georgetown, QL;Australia;GTT;
Gottwaldov;Czech Republic;GTW;Gottwaldov
Gettysburg, PA;USA;GTY;
Guatemala;Guatemala;GUA;Guatemala City
Guerrero Negro;Mexico;GUB;
Gunnison, CO;USA;GUC;
Goundam;Mali;GUD;
Guriaso;Papua New Guin;GUE;
Edwards, AL;USA;GUF;Gulf Shores
Guari;Papua New Guin;GUG;
Gunnedah, NS;Australia;GUH;
Guiria, SU;Venezuela;GUI;
Guaratingueta, SP;Brazil;GUJ;
Goulburn, NS;Australia;GUL;
Guam;Northern Mariana Islands;GUM;Guam
Gunter AFB, AL;USA;GUN;Montgomery
Gualaco;Honduras;GUO;
Senator Clark Municipal, NM;USA;GUP;Gallup
Guanare, PO;Venezuela;GUQ;
Gurney;Papua New Guin;GUR;Alotou
Grissom AFB, IN;USA;GUS;Peru
Gutersloh;Germany;GUT;Gutersloh
Grundarfjordur;Iceland;GUU;
Mougulu;Papua New Guin;GUV;
Atyrau;Kazakhstan;GUW;Atyrau
Guna;India;GUX;
Guymon, OK;USA;GUY;
Guarapari;Brazil;GUZ;
Geneva;Switzerland;GVA;Geneva
Municipal, VA;USA;GVE;Gordonsville
Green River;Papua New Guin;GVI;
Lee Gilmer Memorial, G;USA;GVL;Gainesville
Greenvale, QL;Australia;GVP;
Governador Valadares, MG;Brazil;GVR;
Majors Field, TX;USA;GVT;Greenville
Richards-Gebaur AFB, M;USA;GVW;Kansas City
Gavle;Sweden;GVX;Gavle
Gwa;Myanmar;GWA;
Gwadar;Pakistan;GWD;
Gweru;Zimbabwe;GWE;
Gwalior;India;GWL;
Gnarowein;Papua New Guin;GWN;
Le Flore, MS;USA;GWO;Greenwood
Glenwood Springs, CO;USA;GWS;
Sylt;Germany;GWT;Westerland Sylt
Glendale, WV;USA;GWV;
Berlin;Germany;GWW;Berlin
Galway;Ireland;GWY;Galway
Seiyun;Yemen;GXF;
Negage;Angola;GXG;
NAF;United Kingdom of Great Britain and Northern Ireland;GXH;Mildenhall
Teniente Vidal;Chile;GXQ;Coyhaique
Yagoua;Cameroon;GXX;
Weld County, CO;USA;GXY;Greeley
Guayaramerin;Bolivia;GYA;
Baku;Azerbaijani;GYD;Baku
Guayaquil;Ecuador;GYE;Guayaquil
Gisenyi;Rwanda;GYI;
Argyle, WA;Australia;GYL;
General Jose Maria Yanez I;Mexico;GYM;Guaymas
Goiana;Brasil;GYN;Goiana
Gympie, QL;Australia;GYP;
Litchfield, AZ;USA;GYR;Goodyear
Regional, IN;USA;GYY;Gary
Int'l;Egypt;GZA;Gaza
Ghazni;Afghanistan;GZI;
Gozo;Malta;GZM;Gozo
Nusatope (Giza Island);Solomon Island;GZO;Gizo
Gazipasa;Türkiye;GZP;Alanya
Gaziantep;Türkiye;GZT;Gaziantep
Hasvik;Norway;HAA;
Marion County, AL;USA;HAB;Hamilton
Hachijojima;Japan;HAC;
Halmstad;Sweden;HAD;Halmstad
Havasupai, AZ;USA;HAE;
Half Moon Bay, CA;USA;HAF;
THE HAGUE;The Netherlands;HAG;The Hague
Moroni;Madagascar;HAH;Moroni
Dr Haines, MI;USA;HAI;Three Rivers
Hanover;Germany;HAJ;Hannover
Dayingshan;China;HAK;Haikou
Halali;Namibia;HAL;
Hamburg;Germany;HAM;Hamburg
Noi Bai;Vietnam;HAN;Hanoi
Hamilton, OH;USA;HAO;
Long Island, QL;Australia;HAP;
Hanimaadhoo;Maldives;HAQ;
Harrisburg;USA;HAR;Harrisburg
HAIL;Saudi Arabia;HAS;Hail
Heathlands, QL;Australia;HAT;
Haugesund;Norway;HAU;Haugesund
Havana;Cuba;HAV;Havana
Hawarden;United Kingdom of Great Britain and Northern Ireland;HAW;Haverfordwest
Hatbox Field, OK;USA;HAX;Muskogee
Haycock, AK;USA;HAY;
Hatzfeldthaven;Papua New Guin;HAZ;
Hobart;Australia;HBA;Hobart
Industrial Air Park, NM;USA;HBB;Hobbs
Hanus Bay, AK;USA;HBC;
Borg El Arab;Egypt;HBE;Alexandria
Laurel Regional, MS;USA;HBG;Hattiesburg
Hobart Bay, AK;USA;HBH;
Harbour Island;Bahamas;HBI;
Heliport;South Africa;HBL;Babelegi
Phu Bon;Vietnam;HBN;
Municipal, NE;USA;HBO;Humboldt
Hobart, OK;USA;HBR;
Hafr Al-Batin;Saudia Arabia;HBT;
Hubli;India;HBX;
Big Spring;USA;HCA;Big Spring
Shoal Cove, AK;USA;HCB;
Columbia County, NY;USA;HCC;Hudson
Eil;Somalia;HCM;
Hengchun;Taiwan;HCN;
Halls Creek, WA;Australia;HCQ;
Holy Cross, AK;USA;HCR;
Randburg Heliport;South Africa;HCS;Johannesburg
Cheraw, SC;USA;HCW;
Hidden Falls, AK;USA;HDA;
Heidelberg;Germany;HDB;Heidelberg
Hyderabad;Pakistan;HDD;
Brewster Field, NE;USA;HDE;Holdrege
Heringsdorf;Germany;HDF;Heringsdorf
Dillingham AF;USA;HDH;Mokuleia-Oahu Island
Hamadan;Iran;HDM;
Yampa Valley, CO;USA;HDN;Hayden
Burgerlike;South Africa;HDS;Hoedspruit
Hat Yai;Thailand;HDY;Hat Yai
Herat;Afghanistan;HEA;Herat
Henzada;Myanmar;HEB;
Herendeen, AK;USA;HED;
Thompson-Robbins, AR;USA;HEE;Helena
Manassas Regional;;HEF;Manassas Regional
Heho;Myanmar;HEH;
B�sum;Germany;HEI;Heide
Heihe;China;HEK;
Helsinki;Finland;HEL;Helsinki
Malmi;Finland;HEM;Helsinki
Hendon;United Kingdom of Great Britain and Northern Ireland;HEN;
Haelogo;Papua New Guin;HEO;
Heraklion;Greece;HER;Heraklion
Hermiston, OR;USA;HES;
Hohhot;China;HET;
Herrera;Dominican Repu;HEX;Santo Domingo
Hanchey Army Heliport, AL;USA;HEY;Ozark
Hardy-Anders, MS;USA;HEZ;Natchez
Haifa;Israel;HFA;Haifa
Hartford;USA;HFD;Hartford
Xinqiao Intl;China;HFE;Hefei
Mackall AAF, NC;USA;HFF;Hoffman
Hornafjordur;Iceland;HFN;Hofn
Hagfors;Sweden;HFS;
HAMMERFEST;Norway;HFT;Hammerfest
Hargeisa;Somalia;HGA;
Hughenden, QL;Australia;HGD;
Hangzhou;China;HGH;Hangzhou
HELGOLAND;Germany;HGL;Helgoland
Mae Hong Son;Thailand;HGN;
Korhogo;Côte d'Ivoire;HGO;
Washington County Regio;USA;HGR;Hagerstown
Hastings;Sierra Leone;HGS;Freetown
Jolon, CA;USA;HGT;
Kagamuga;Papua New Guin;HGU;Mount Hagen
Hogatza, AK;USA;HGZ;
Hachinohe;Japan;HHE;
Hilton Head, SC;USA;HHH;Hilton Head Island
Wheeler AFB, H;USA;HHI;Wahiawa-Oahu Island
Hahn;Germany;HHN;Hahn
Heliport;China;HHP;Hong Kong
Hua Hin;Thailand;HHQ;
Municipal, CA;USA;HHR;Hawthorne
Hikueru, TU;French Polynes;HHZ;
Hibbing-Chisholm, MN;USA;HIB;
Iscor Heliport;South Africa;HIC;Pretoria
Horn Island, QL;Australia;HID;
Regional, NH;USA;HIE;Whitefield
Hill AFB, UT;USA;HIF;Ogden
Highbury, QL;Australia;HIG;
Hook Island, QL;Australia;HIH;
Municipal, AZ;USA;HII;Lake Havasu City
HIROSHIMA;Japan;HIJ;Hiroshima
Honolulu;USA;HIK;Honolulu
Shillavo;Ethiopia;HIL;
Chinju;China;HIN;
Portland;USA;HIO;Hillsboro
Headingly, QL;Australia;HIP;
Honiara;Solomon Islands;HIR;Honiara
Hayman Island, QL;Australia;HIS;
Hivaro;Papua New Guin;HIT;
West;Japan;HIW;Hiroshima
Atuana, MA;French Polynes;HIX;Hiva-Oa
Khajuraho;India;HJR;
Khujirt;Mongolia;HJT;
Municipal, AR;USA;HKA;Blytheville
Healy Lake, AK;USA;HKB;
HAKODATE;Japan;HKD;Hakodate
Hong Kong;Hong Kong;HKG;Hong Kong
Hokitika;New Zealand;HKK;
Hoskins;Papua New Guin;HKN;
Hawkins Field, MS;USA;HKS;Jackson
Phuket;Thailand;HKT;Phuket
Haskovo;Bulgaria;HKV;Haskovo
HICKORY;USA;HKY;Hickory
Lanseria;South Africa;HLA;Lanseria
Hillenbrand, IN;USA;HLB;Batesville
Hill City, KS;USA;HLC;
Hailar;China;HLD;
Hultdfred;Sweden;HLF;Hultsfred
Ohio County, WV;USA;HLG;Wheeling
Ulanhot;China;HLH;
Hollister, CA;USA;HLI;
SHAULIAJ;Lithuania;HLJ;SHAULIAJ
Hillside, WA;Australia;HLL;
Park Township, MI;USA;HLM;Holland
Helena;USA;HLN;Helena
Jakarta;Indonesia;HLP;Jakarta
Fort Hood AAF, TX;USA;HLR;Killeen
Saint Helens, TS;Australia;HLS;
Hamilton, VI;Australia;HLT;
Nesson;New Caledonia;HLU;Houailou
Helenvale, QL;Australia;HLV;
Hluhluwe;South Africa;HLW;
Holyhead;United Kingdom of Great Britain and Northern Ireland;HLY;
Hamilton;New Zealand;HLZ;
Khanty-Mansiysk;Russia;HMA;Khanty-Mansiysk
Hassi Messaoud;Algeria;HME;Hassi Messaoud
Hermannsburg, NT;Australia;HMG;
Hami;China;HMI;
Khmelnitskiy;Ukraine;HMJ;
Holloman AFB, NM;USA;HMN;Alamogordo
Hermosillo;Mexico;HMO;Hermosillo
Stafsberg;Norway;HMR;Hamar
Homeshore, AK;USA;HMS;
Ryan Field, CA;USA;HMT;Hemet
Hemavan;Sweden;HMV;
Hanamaki;Japan;HNA;Morioka
Municipal, IN;USA;HNB;Huntingburg
Hatteras, NC;USA;HNC;
Tokio;Japan;HND;Tokio
Tahneta Pass Lodge, AK;USA;HNE;
Henri Martinet;New Caledonia;HNG;Hienghene
Hoonah, AK;USA;HNH;
Heiweni;Papua New Guin;HNI;
Hinchinbrook Island, QL;Australia;HNK;
Honolulu;USA;HNL;Honolulu
Hana, Maui Island, HI;USA;HNM;
Honinabi;Papua New Guin;HNN;
Hercegnovi;Yugoslavia;HNO;
Municipal, AK;USA;HNS;Haines
Hanna, WY;USA;HNX;
Hengyang;China;HNY;
Hola;Kenya;HOA;
Lea County, NM;USA;HOB;Hobbs
Komako;Papua New Guin;HOC;
Hodeibah;Yemen;HOD;Hodeibah
Bane Houeisay;Laos;HOE;
AL-AHSA;Saudi Arabia;HOF;HOFUF
Holguin;Cuba;HOG;Holguin
Hohenems;Austria;HOH;Hohenems
Hao, TU;French Polynes;HOI;
Hooker Creek, NT;Australia;HOK;
Holikachu, AK;USA;HOL;
Homer, AK;USA;HOM;
Howes Regional, SD;USA;HON;Huron
Nhon Co;Vietnam;HOO;Quanduc
Hopkinsville;USA;HOP;Hopkinsville
HOF;Germany;HOQ;Hof
HORTA;Portugal;HOR;Horta
Oscar Reguera, NE;Argentina;HOS;Chosmadal
Memorial Field, AR;USA;HOT;Hot Springs
Houston;USA;HOU;Houston
Hovden;Norway;HOV;Orsta-Volda
Howard AFB, KY;USA;HOW;Fort Kobbe
Hommalin;Myanmar;HOX;
Hoy Island;United Kingdom of Great Britain and Northern Ireland;HOY;
Ha'Apai Lifuka;Tonga;HPA;
Hooper Bay, AK;USA;HPB;
Hope Vale, QL;Australia;HPE;
Catbi;Vietnam;HPH;Haiphong
Westchester County;USA;HPN;White Planes, NY
Central Heliport;South Africa;HPR;Pretoria
Municipal, IA;USA;HPT;Hampton
Princeville,;USA;HPV;Hanalei-Kauai Island
Baytown, TX;USA;HPY;
Bowerman, WA;USA;HQM;Hoqiam-Aberdeen
Mansehra;Pakistan;HRA;
Yanjiagang;China;HRB;Harbin
Zhairem;Kazakstan;HRC;
Harare;Zimbabwe;HRE;Harare
Hurghada;Egypt;HRG;Hurghada
Mattala;Sri Lanka;HRI;Mattala
Chaurjhari;Nepal;HRJ;
Kharkov;Ukraine;HRK;Kharkov
Harlingen;USA;HRL;Harlingen
Tilrempt;Algeria;HRM;Hassi R'Mel
Heliport, QL;Australia;HRN;Heron Island
Boone County, AR;USA;HRO;Harrison
Herrera;Colombia;HRR;
Harrismith;South Africa;HRS;
Linton-On-Ouse;United Kingdom of Great Britain and Northern Ireland;HRT;Linton-On-Ouse
Henbury, NT;Australia;HRY;
Horizontina, RS;Brazil;HRZ;
Raleigh, IL;USA;HSB;Harrisburg
Shaoguan;China;HSC;
Saga;Japan;HSG;
Henderson Sky Harbor, NV;USA;HSH;Las Vegas
Hastings, NE;USA;HSI;
Huslia, AK;USA;HSL;
Horsham, VI;Australia;HSM;
Zhoushan;China;HSN;
Ingalls Field, VA;USA;HSP;Hot Springs
Hissar;India;HSS;
Homestead AFB, FL;USA;HST;Homestead
Huntsville;USA;HSV;Huntsville
Hsinchun;Taiwan;HSZ;
Kadala;Russia (CIS);HTA;Chita
Hatfield;United Kingdom of Great Britain and Northern Ireland;HTF;Hatfield
Hatanga;Russia (CIS);HTG;
Hawthorne, NV;USA;HTH;
Hamilton Island;Australia;HTI;Hamilton Island
Roscommon County, MI;USA;HTL;Houghton Lake
Hotan;China;HTN;
East Hampton, NY;USA;HTO;
Hateruma;Japan;HTR;
Huntington;USA;HTS;Huntington
Hopetown, VI;Australia;HTU;
Huntsville, TX;USA;HTV;
Lawrence Cou;USA;HTW;Chesapeake-Huntingto
Hatay airport;;HTY;Hatay
Hato Corozal, CS;Colombia;HTZ;
Redstone AAF Arsenal, A;USA;HUA;Huntsville
Humbert River, NT;Australia;HUB;
Humacao;Puerto Rico;HUC;
Humboldt, IA;USA;HUD;
Humera;Ethiopia;HUE;
Terre Haute;USA;HUF;Terre Haute
Huehuetenango;Guatemala;HUG;
Fare, SO;French Polynes;HUH;Huahine
Phubai;Vietnam;HUI;Hue
Hugo, OK;USA;HUJ;
Hukuntsi;Botswana;HUK;
Int'l, ME;USA;HUL;Houlton
Terrebonne, LA;USA;HUM;Houma
HUALIEN;Taiwan;HUN;Hualien
Houn;Libya;HUQ;
Municipal, AK;USA;HUS;Hughes
Municipal, KS;USA;HUT;Hutchinson
Alferez FAP David Figuerao;Peru;HUU;Huanuco
Hudiksvall;Sweden;HUV;Hudiksvall
Huatulco;Mexico;HUX;
Humberside;United Kingdom of Great Britain and Northern Ireland;HUY;Humberside
Huizhou;China;HUZ;
Analalava;Madagascar;HVA;
Hervey Bay, QL;Australia;HVB;
Khovd;Mongolia;HVD;
Intermediate, UT;USA;HVE;Hanksville
Valan;Norway;HVG;Honningsvag
Holmavik;Iceland;HVK;
Hvammstangi;Iceland;HVM;
New Haven;USA;HVN;New Haven
City County, MT;USA;HVR;Havre
Municipal, SC;USA;HVS;Hartsville
Hawabango;Papua New Guin;HWA;
Air Terminal, CA;USA;HWD;Hayward
SPB, AK;USA;HWI;Hawk Inlet
Wilpena Pound, SA;Australia;HWK;Hawker
National Park;Zimbabwe;HWN;Hwange
North Perry, FL;USA;HWO;Hollywood
Hay, NS;Australia;HXX;
Hyannis;USA;HYA;Hyannis
High Wycombe;United Kingdom of Great Britain and Northern Ireland;HYC;
Hyderabad;India;HYD;Hyderabad
Hayfields;Papua New Guin;HYF;
SPB, AK;USA;HYG;Hydaburg
SPB, AK;USA;HYL;Hollis
Luqiao;China;HYN;Huangyan
Municipal, WI;USA;HYR;Hayward
Municipal, KS;USA;HYS;Hays
Hyvinkaa;Finland;HYV;
HAZEBROUCK;France;HZB;MERVILLE
Hanzhong;China;HZG;
Husavik;Iceland;HZK;
Hazleton, PA;USA;HZL;
Hazyview;South Africa;HZV;
Igarka;Russia (CIS);IAA;
McConnell AFB, KS;USA;IAB;Wichita
Washington;USA;IAD;Washington
Niagara Falls;USA;IAG;Niagara Falls
Houston;USA;IAH;Houston
Inamenas;Algeria;IAM;Inamenas
Bob Parker Memorial, AK;USA;IAN;Kiana
Bahregan;Iran;IAQ;
Yaroslavl;Russia (CIS);IAR;
IASI;Romania;IAS;Iasi
Iaura;Papua New Guin;IAU;
Ibadan;Nigeria;IBA;
Perales, TO;Colombia;IBE;Ibague
Iboki;Papua New Guin;IBI;
Ibo;Mozambique;IBO;
Iberia;Peru;IBP;
Ibiza;Spain;IBZ;Ibiza
Icabaru, BO;Venezuela;ICA;
Cicia;Fiji;ICI;
Maj.Fernandez;Surinam;ICK;Nieuw Nickerie
Municipal, IA;USA;ICL;Clarinda
Seoul Incheon;South Korea;ICN;Seoul
Sicogon Island;Philippines;ICO;
Nicaro;Cuba;ICR;
Wichita;USA;ICT;Wichita
Icy Bay, AK;USA;ICY;
Idaho Falls;USA;IDA;Idaho Falls
Idre;Sweden;IDB;
Idiofa;Congo (the Democratic Republic of the);IDF;
Municipal, IA;USA;IDG;Ida Grove
Indiana County-Jimmy Stewa;USA;IDI;Indiana
Indulkana, SA;Australia;IDK;
Indagen;Papua New Guin;IDN;
Santa Isabel do Morro, TO;Brazil;IDO;
Independence, KS;USA;IDP;
Indore;India;IDR;
Le Grand Phare;France;IDY;Ile d'Yeu
Babimost;Poland;IEG;Zielona Gora
Iejima;Japan;IEJ;
Gohlis;Germany;IES;Riesa
Kyiv Zhuliany;Ukraine;IEV;Kyiv
Iowa Falls, IA;USA;IFA;
Iffley, QL;Australia;IFF;
ISAFJORDUR;Iceland;IFJ;Isafjordur
Innisfail, QL;Australia;IFL;
Isfahan;Iran;IFN;Isfahan
Ivano-Frankovsk;Ukraine;IFO;Ivano-Frankovsk
Bullhead City;USA;IFP;Bullhead City
Inagua;Bahamas;IGA;
Ingeniero Jacobacci, RN;Argentina;IGB;
Iguela;Gabon;IGE;
Igiugig, AK;USA;IGG;
Ingham, QL;Australia;IGH;
Izmir Cigli;Türkiye;IGL;Izmir
Kingman, AZ;USA;IGM;
Maria Cristina, LN;Philippines;IGN;Iligan
Chigorodo, AN;Colombia;IGO;
Iguasso Falls;Argentina;IGR;Iguaza
Ingolstadt;Germany;IGS;Ingolstadt
Nijihama;Japan;IHA;
Qishn;Yemen;IHN;
Ihosy;Madagascar;IHO;
Ihu;Papua New Guin;IHU;
Inishmaan;Ireland;IIA;
Nishinoomote;Japan;IIN;
Nissan Island;Papua New Guin;IIS;
Izhevsk;Russia (CIS);IJK;
J. Batista Bos Filho, RS;Brazil;IJU;Ijui
Municipal, IL;USA;IJX;Jacksonville
Tehran;Iran;IKA;Tehran
Wilkes County, NC;USA;IKB;Wilkesboro
Iki;Japan;IKI;
Greater Kanakee, IL;USA;IKK;Kankakee
Ikela;Congo (the Democratic Republic of the);IKL;
Nikolski, AK;USA;IKO;
Inkerman, QL;Australia;IKP;
Tiksi;Russia (CIS);IKS;
Irkutsk;Russia (CIS);IKT;Irkutsk
Ilaga;Indonesia;ILA;
Ilha Solteira, MS;Brazil;ILB;
Lleida;Spain;ILD;Lleida
Municipal, TX;USA;ILE;Killeen
Ilford, MN;Canada;ILF;
Wilmington;USA;ILG;Wilmington De. usa
Illesheim;Germany;ILH;
Iliamna, AK;USA;ILI;
Ilaka Est;Madagascar;ILK;
John L. Rice Municipal, MN;USA;ILL;Willmar
Wilmington;USA;ILM;Wilmington
Airborne Airpark, OH;USA;ILN;Wilmington
Iloilo;Philippines;ILO;Iloilo
Moue;New Caledonia;ILP;Ile des Pins
State Moquegua;Peru;ILQ;Ilo
Ilorin;Nigeria;ILR;
Kilaguni;Kenya;ILU;
Ileg;Papua New Guin;ILX;
Islay;United Kingdom of Great Britain and Northern Ireland;ILY;Islay
Zilina;Slovakia;ILZ;Zilina
Iamalele;Papua New Guin;IMA;
Imbaimadai;Guyana;IMB;
Imonda;Papua New Guin;IMD;
Imphal;India;IMF;
Inhaminga;Mozambique;IMG;
Ine Island;Marshall Islan;IMI;
Simikot;Nepal;IMK;
Imperial, NE;USA;IML;
Immokalee, FL;USA;IMM;
Imane;Papua New Guin;IMN;
Zemio;Central Africa;IMO;
Imperatriz, MA;Brazil;IMP;
Ford, MI;USA;IMT;Iron Mountain
Nimroz;Afghanistan;IMZ;
Inta;Russia (CIS);INA;
Independence;Belize;INB;
Yinchuan;China;INC;
Indianapolis;USA;IND;Indianapolis
Chinde;Mozambique;INE;
In Guezzam;Algeria;INF;
Lago Argentino, SC;Argentina;ING;
Inhambane;Mozambique;INH;
Nis;Serbia ;INI;Nis
Injune, QL;Australia;INJ;
Winkler County, TX;USA;INK;Wink
International Falls, MN;USA;INL;
Innamincka, SA;Australia;INM;
Innsbruck;Austria;INN;Innsbruck
Inongo;Congo (the Democratic Republic of the);INO;
Inisheer;Ireland;INQ;
Kincheloe AFB,;USA;INR;Sault Sainte Marie
Indian Springs AAF,;USA;INS;Indian Springs
